hospital_id,hospital_name,state,district,city,latitude,longitude,ownership_type,hospital_level,total_beds,icu_beds,ventilators,cardiac_unit,trauma_unit,burn_unit,current_icu_load_percent,emergency_load_score,last_updated
1,Hospital Maternidade Fernando Magalhães,Goa,Vasco da Gama,Vasco Da Gama,-22.8951607,-43.2257523,Private,Primary,81,3,1,No,No,Yes,42,0.86,2025-12-16
2,National Centre for Training and Research into Cerebral Palsy,Maharashtra,Mumbai,Mumbai,19.0516428,72.8321317,Government,Primary,75,2,1,Yes,Yes,No,30,0.69,2025-12-16
3,Saifee Ambulance,Maharashtra,Mumbai,Mumbai,18.9599377,72.8314957,Trust,Primary,60,1,0,No,No,Yes,42,0.13,2025-12-16
4,Siddarth Municipal Hospital,Maharashtra,Mumbai,Mumbai,19.1597156,72.8399209,Trust,Primary,51,2,1,No,Yes,Yes,50,0.28,2025-12-16
5,Jevan Vikas Hospital,Maharashtra,Mumbai,Mumbai,19.1106501,72.8483274,Private,Primary,85,3,2,Yes,Yes,No,30,0.67,2025-12-16
6,JOY Hospital,Maharashtra,Mumbai,Mumbai,19.0558773,72.8973945,Private,Tertiary,416,78,50,Yes,Yes,No,54,0.69,2025-12-16
7,Inlaks Hospital,Maharashtra,Mumbai,Mumbai,19.0466131,72.8964218,Government,Tertiary,985,200,130,No,No,Yes,62,0.85,2025-12-16
8,"Ankit Fracture, Maternity and Surgical Hospital",Maharashtra,Mumbai,Mumbai,19.2270454,72.8605924,Trust,Tertiary,1081,167,139,No,No,Yes,89,0.26,2025-12-16
9,Sujay Hospital,Maharashtra,Mumbai,Mumbai,19.116234,72.8339632,Government,Primary,55,1,0,No,Yes,No,93,0.99,2025-12-16
10,Powai Dental Clinic,Maharashtra,Mumbai,Mumbai,19.1246531,72.9172844,Private,Tertiary,646,153,125,No,No,No,51,0.69,2025-12-16
11,Powai Hospital,Maharashtra,Mumbai,Mumbai,19.124088,72.9164511,Government,Primary,96,4,3,Yes,No,No,61,0.35,2025-12-16
12,Sailee Hospital and Diagnostic Center,Maharashtra,Mumbai,Mumbai,19.2277332,72.8406807,Government,Secondary,343,38,28,No,Yes,Yes,64,0.61,2025-12-16
13,Dr Manveen Gill,Maharashtra,Mumbai,Mumbai,19.132483,72.8274922,Government,Primary,90,2,1,No,No,No,90,0.87,2025-12-16
